Date,Account_ID,Customer_Segment,Industry,Subscription_Status,Monthly_Recurring_Revenue,Expansion_Revenue,Support_Tickets_Last_30d,Feature_Adoption_Score
2024-01-01,ACC00001,Enterprise,Retail,Active,18191.18,3866.3,4,64.7
2024-01-01,ACC00002,Enterprise,Tech,Active,16206.9,1999.38,2,80.7
2024-01-01,ACC00003,SMB,Tech,Active,2235.24,266.84,7,72.7
2024-01-01,ACC00004,SMB,Tech,Active,1889.05,9.8,8,80.9
2024-01-01,ACC00005,Enterprise,Retail,Active,16438.34,3188.45,7,97.6
2024-01-01,ACC00006,SMB,Healthcare,Active,1467.15,23.01,5,88.0
2024-01-01,ACC00007,SMB,Healthcare,Paused,2447.85,0.0,6,81.0
2024-01-01,ACC00008,SMB,Healthcare,Paused,2279.96,0.0,6,73.0
2024-01-01,ACC00009,SMB,Healthcare,Active,2082.94,562.53,9,76.9
2024-01-01,ACC00010,SMB,Finance,Churned,1284.96,0.0,0,52.5
2024-01-01,ACC00011,Mid-Market,Finance,Active,9319.25,2563.51,3,70.4
2024-01-01,ACC00012,Mid-Market,Tech,Active,8772.68,121.61,9,98.4
2024-01-01,ACC00013,Mid-Market,Finance,Active,6400.09,1808.82,2,81.1
2024-01-01,ACC00014,Enterprise,Healthcare,Active,16966.31,3446.19,1,97.6
2024-01-01,ACC00015,Mid-Market,Healthcare,Active,6477.66,333.93,5,92.2
2024-01-01,ACC00016,SMB,Finance,Active,2036.24,456.93,4,74.5
2024-01-01,ACC00017,SMB,Retail,Active,2855.07,120.02,4,88.8
2024-01-01,ACC00018,Enterprise,Retail,Active,14762.3,3608.76,4,91.7
2024-01-01,ACC00019,Enterprise,Retail,Active,10133.36,1280.03,1,88.5
2024-01-01,ACC00020,Enterprise,Healthcare,Active,24915.41,333.19,2,96.4
2024-01-01,ACC00021,Mid-Market,Finance,Active,5172.9,45.94,8,90.0
2024-01-01,ACC00022,Enterprise,Healthcare,Active,10608.1,2858.2,4,61.2
2024-01-01,ACC00023,SMB,Tech,Churned,1999.95,0.0,9,55.5
2024-01-01,ACC00024,SMB,Tech,Active,791.97,63.17,9,96.1
2024-01-01,ACC00025,Mid-Market,Retail,Active,7647.96,1768.56,9,70.2
2024-01-01,ACC00026,Mid-Market,Healthcare,Active,4187.17,255.56,2,90.6
2024-01-01,ACC00027,SMB,Finance,Active,2460.42,91.5,5,86.3
2024-01-01,ACC00028,SMB,Tech,Active,716.47,146.21,2,81.6
2024-01-01,ACC00029,SMB,Finance,Active,2605.74,776.28,9,97.5
2024-01-01,ACC00030,Enterprise,Finance,Active,21036.02,728.85,1,87.6
2024-01-01,ACC00031,Mid-Market,Retail,Active,3474.42,661.87,3,78.1
2024-01-01,ACC00032,Enterprise,Healthcare,Active,22701.0,5472.07,7,68.4
2024-01-01,ACC00033,SMB,Finance,Churned,1644.23,0.0,6,31.8
2024-01-01,ACC00034,SMB,Tech,Active,595.46,107.82,9,86.1
2024-01-01,ACC00035,SMB,Healthcare,Paused,804.45,0.0,7,63.6
2024-01-01,ACC00036,Enterprise,Healthcare,Active,14069.58,3877.63,2,81.2
2024-01-01,ACC00037,SMB,Finance,Active,1363.52,77.01,9,92.9
2024-01-01,ACC00038,Mid-Market,Retail,Active,3464.03,681.61,4,79.2
2024-01-01,ACC00039,SMB,Retail,Active,1335.7,370.29,3,72.1
2024-01-01,ACC00040,SMB,Tech,Churned,1570.6,0.0,0,59.5
2024-01-01,ACC00041,SMB,Healthcare,Active,2042.7,203.65,4,86.7
2024-01-01,ACC00042,SMB,Healthcare,Active,1947.11,380.06,5,95.6
2024-01-01,ACC00043,Enterprise,Retail,Active,15392.95,621.83,1,95.6
2024-01-01,ACC00044,Enterprise,Finance,Active,18608.33,2292.81,6,74.7
2024-01-01,ACC00045,Enterprise,Tech,Active,24161.92,2703.3,6,96.0
2024-01-01,ACC00046,SMB,Tech,Active,1746.3,479.99,4,95.7
2024-01-01,ACC00047,SMB,Tech,Active,1060.99,161.19,5,92.9
2024-01-01,ACC00048,Enterprise,Healthcare,Active,12010.13,3436.34,0,90.9
2024-01-01,ACC00049,SMB,Finance,Active,2615.25,71.0,9,62.6
2024-01-01,ACC00050,SMB,Retail,Active,2127.84,229.65,8,75.1
2024-01-02,ACC00001,Mid-Market,Finance,Active,9586.53,1402.05,8,61.9
2024-01-02,ACC00002,SMB,Finance,Churned,2415.2,0.0,3,23.5
2024-01-02,ACC00003,SMB,Tech,Active,1492.67,9.79,1,62.4
2024-01-02,ACC00004,SMB,Retail,Active,2888.79,87.01,7,88.9
2024-01-02,ACC00005,Mid-Market,Finance,Active,9073.63,1246.0,5,60.4
2024-01-02,ACC00006,Mid-Market,Finance,Active,5912.59,1233.68,9,93.8
2024-01-02,ACC00007,SMB,Finance,Active,2868.25,455.68,1,69.9
2024-01-02,ACC00008,Enterprise,Retail,Active,14830.57,1003.91,2,85.6
2024-01-02,ACC00009,Mid-Market,Finance,Active,6111.41,449.39,9,89.6
2024-01-02,ACC00010,Mid-Market,Finance,Active,6094.01,1319.88,8,97.4
2024-01-02,ACC00011,SMB,Tech,Churned,1745.8,0.0,4,47.0
2024-01-02,ACC00012,SMB,Finance,Active,1097.4,277.12,6,66.3
2024-01-02,ACC00013,SMB,Healthcare,Active,2303.09,25.93,2,89.4
2024-01-02,ACC00014,Enterprise,Finance,Active,14704.36,512.16,1,99.0
2024-01-02,ACC00015,SMB,Finance,Churned,1393.55,0.0,8,47.7
2024-01-02,ACC00016,SMB,Tech,Paused,1344.24,0.0,7,82.9
2024-01-02,ACC00017,SMB,Finance,Active,2028.62,312.7,9,62.6
2024-01-02,ACC00018,SMB,Healthcare,Active,643.78,177.25,7,93.8
2024-01-02,ACC00019,SMB,Retail,Churned,2303.13,0.0,1,42.6
2024-01-02,ACC00020,SMB,Tech,Active,2988.06,35.88,1,60.3
2024-01-02,ACC00021,SMB,Retail,Active,2011.16,273.81,2,95.4
2024-01-02,ACC00022,SMB,Healthcare,Active,2717.68,150.42,0,66.6
2024-01-02,ACC00023,SMB,Retail,Active,2550.62,99.85,3,78.5
2024-01-02,ACC00024,SMB,Healthcare,Active,873.89,70.63,2,60.8
2024-01-02,ACC00025,Enterprise,Healthcare,Paused,22884.79,0.0,5,65.7
2024-01-02,ACC00026,Mid-Market,Retail,Active,9871.54,2579.43,3,63.9
2024-01-02,ACC00027,SMB,Finance,Active,1070.75,221.73,6,68.5
2024-01-02,ACC00028,SMB,Finance,Active,1219.23,171.93,1,97.4
2024-01-02,ACC00029,SMB,Tech,Active,663.63,17.77,0,85.8
2024-01-02,ACC00030,SMB,Healthcare,Active,1920.92,247.55,0,83.0
2024-01-02,ACC00031,SMB,Healthcare,Active,2960.77,179.8,4,96.0
2024-01-02,ACC00032,Mid-Market,Healthcare,Paused,9882.91,0.0,3,89.3
2024-01-02,ACC00033,SMB,Healthcare,Active,2979.61,709.63,8,76.0
2024-01-02,ACC00034,Mid-Market,Healthcare,Active,7529.78,761.76,0,72.5
2024-01-02,ACC00035,Enterprise,Tech,Active,13060.63,2646.68,5,80.2
2024-01-02,ACC00036,Mid-Market,Finance,Active,8245.96,146.41,1,66.4
2024-01-02,ACC00037,Mid-Market,Healthcare,Active,6017.34,1730.82,5,83.3
2024-01-02,ACC00038,SMB,Finance,Active,821.88,77.35,8,72.8
2024-01-02,ACC00039,Mid-Market,Retail,Active,5699.49,416.59,6,95.3
2024-01-02,ACC00040,SMB,Healthcare,Active,2443.6,94.22,0,68.7
2024-01-02,ACC00041,SMB,Healthcare,Active,517.28,19.85,7,79.0
2024-01-02,ACC00042,SMB,Tech,Active,1429.92,6.77,7,93.9
2024-01-02,ACC00043,SMB,Healthcare,Active,1267.45,297.94,2,98.3
2024-01-02,ACC00044,SMB,Finance,Churned,2899.33,0.0,7,40.3
2024-01-02,ACC00045,Mid-Market,Finance,Active,8686.93,2063.28,9,99.0
2024-01-02,ACC00046,Mid-Market,Healthcare,Active,3756.68,425.23,0,63.6
2024-01-02,ACC00047,SMB,Finance,Active,626.04,159.39,9,97.3
2024-01-02,ACC00048,SMB,Tech,Active,609.99,103.87,7,66.6
2024-01-02,ACC00049,SMB,Finance,Active,2349.03,627.0,2,69.7
2024-01-02,ACC00050,SMB,Tech,Active,1763.57,240.54,0,61.4
2024-01-03,ACC00001,SMB,Tech,Churned,1285.16,0.0,9,40.2
2024-01-03,ACC00002,SMB,Healthcare,Active,2212.85,518.47,4,96.8
2024-01-03,ACC00003,Mid-Market,Tech,Churned,3820.45,0.0,7,51.5
2024-01-03,ACC00004,SMB,Tech,Active,1563.48,321.64,1,88.7
2024-01-03,ACC00005,Mid-Market,Finance,Active,4460.15,366.83,6,68.7
2024-01-03,ACC00006,SMB,Tech,Active,2821.65,672.34,2,64.1
2024-01-03,ACC00007,Mid-Market,Healthcare,Active,7657.61,44.8,1,66.2
2024-01-03,ACC00008,Mid-Market,Finance,Active,6681.34,124.71,1,82.8
2024-01-03,ACC00009,SMB,Tech,Churned,1380.15,0.0,0,45.1
2024-01-03,ACC00010,Mid-Market,Tech,Active,3176.26,570.95,0,71.8
2024-01-03,ACC00011,Enterprise,Retail,Active,21543.31,919.71,5,87.0
